ticker,return,volatility,draw_down,max_draw_down,sharpe
Avg_SP500,0.170309351634,0.0371136338479,-0.0261745443857,-0.0766335188691,0.0988167523244
industrials,0.462895205933,0.114850011094,-0.0762513638225,-0.221564314819,0.260896034249
health_care,0.465458052541,0.119391472097,-0.106612305838,-0.24623150103,0.216760272509
information_technology,0.138056380472,0.081535822744,-0.0773919652129,-0.22687026903,0.0837964593197
consumer_discretionary,0.167745838744,0.0898793733972,-0.134703287869,-0.231351524563,0.0785234522547
utilities,0.579252771695,0.107964599532,-0.0341121147864,-0.231723596115,0.39539454291
financials,0.266955916639,0.0992097863548,-0.0870506377686,-0.195703347806,0.155290351288
materials,0.599871295207,0.116442815585,-0.0628730370214,-0.210589492695,0.324724168295
consumer_staples,0.189805594644,0.0999979821224,-0.0881299899758,-0.254331646053,0.157310856557
real_estate,1.02745787429,0.118334094872,-0.0472909772924,-0.22305796849,0.576381765195
energy,1.10456918019,0.124370252389,-0.036584234842,-0.207787050699,0.59323806166
telecommunications_services,0.1495278292,0.0931132220692,-0.142842903807,-0.199539725613,0.13942850565
MMM,0.191227153665,0.108731896463,-0.021518598217,-0.249052552169,0.162282404402
ARNC,-0.0308326223247,0.101124512336,-0.113289625776,-0.264088773507,-0.030908902639
BA,1.12874202118,0.126701627705,-0.117298037426,-0.15317895061,0.619154919503
CHRW,1.00776180685,0.130592069703,-0.100962793716,-0.182351603366,0.552551176104
CTAS,-0.298019159804,0.0579337810083,-0.298019159804,-0.337673963627,-0.599866483557
CMI,0.155041423486,0.0831358485161,-0.0063936063936,-0.168920449213,0.174559487378
DOV,-0.221664779984,0.107436505664,-0.288462754671,-0.298191136293,-0.230262842641
ETN,0.709722435019,0.131772516911,-0.00739644970409,-0.198492952168,0.417953570966
EMR,0.60505594968,0.124364082908,-0.0369489665264,-0.210738629347,0.389447551301
GD,0.650263832016,0.124419088156,0.0,-0.184402293668,0.412704800524
GE,-0.0632699534412,0.0971881790454,-0.0700069112495,-0.252635460624,-0.0670051097682
GWW,0.346694570588,0.13828381829,-0.0661810473112,-0.284935325003,0.218394797879
HON,0.0441945064422,0.119743075255,-0.233290871524,-0.324753854871,0.0361791772661
ITW,0.359057693096,0.113410712191,-0.00239268121039,-0.226253749373,0.274594563084
KSU,0.176006788327,0.0918815436707,-0.0255892255892,-0.187356872655,0.177816004029
LLL,0.928116039119,0.131762035233,-0.00178958933743,-0.154191616766,0.514787915425
LMT,1.00608434154,0.12596595852,-0.0224596706882,-0.194479648819,0.572132557608
NSC,0.223954561087,0.110686964063,-0.152009871624,-0.20047199991,0.18435810759
NOC,0.55684658977,0.107979308058,-0.0906977827267,-0.1672324098,0.418988639415
RSG,0.761828956892,0.129722445036,-0.0791666666667,-0.158206505291,0.449002996025
ROK,-0.0182936134156,0.126259188266,-0.0492912718819,-0.312597876798,-0.0146037754798
COL,1.37106200048,0.129633981527,-0.0124862284245,-0.164105821583,0.695284745859
R,0.489120837379,0.117609036954,-0.022383035086,-0.225415997485,0.345257572033
TXT,1.33121020421,0.138218056005,-0.091651055614,-0.157109490751,0.638751654547
UPS,0.109228105372,0.0937658028423,-0.043796336002,-0.288565226609,0.111087054462
UTX,0.516135667014,0.117778254116,-0.029053222217,-0.215269024996,0.36065430915
ABT,-0.0545450633853,0.113055261036,-0.0645975964645,-0.31043203798,-0.0494534670566
A,-0.140243110933,0.0672744327255,-0.19858285889,-0.281700131693,-0.222833819413
BCR,1.06031328164,0.143151199453,-0.0682828570403,-0.189809884972,0.523442773433
BDX,0.78000901517,0.124715392799,-0.00316205533597,-0.202793957152,0.475741454827
CAH,-0.258094963142,0.115899433936,-0.301281542316,-0.301281542316,-0.253673419479
DHR,0.862001309264,0.130235647676,-0.0440172629239,-0.285595282758,0.49227430726
XRAY,0.160992875812,0.126147368042,-0.129091295007,-0.214082807572,0.119173875234
MTD,1.31323107591,0.134653041111,-0.0438829787234,-0.184156363793,0.649410475266
ACN,0.106309553808,0.102089275865,-0.0984803182295,-0.276418576723,0.0994237804999
ADS,0.0,0.0,0.0,0.0,0
ADP,-0.292663641544,0.103785478633,-0.334452867385,-0.44924809831,-0.327781319402
FIS,0.595118336074,0.111468973174,-0.044957472661,-0.270287636451,0.428662784979
GPN,0.439979382828,0.123708284845,-0.0590716774502,-0.353016557709,0.300066271468
HRS,0.117651032139,0.129698746692,-0.00478142076503,-0.239121014017,0.0862036976941
VRSN,0.0,0.0,0.0,0.0,0
BWA,-0.0175079740984,0.124256892966,-0.277039462237,-0.354685614806,-0.0141967266825
F,0.0,0.0,0.0,0.0,0
GPC,0.224988403518,0.106381021949,-0.107711218135,-0.235011811202,0.192629875993
GT,0.0,0.0,0.0,0.0,0
HAS,0.206600858663,0.101236392368,-0.227432068755,-0.278097689621,0.187190937659
IPG,-0.0637367352909,0.068497512878,-0.236248911228,-0.246998000625,-0.0957932940969
LEG,-0.274198758404,0.093471481823,-0.288021611289,-0.358898437801,-0.337294379187
LEN,0.0,0.0,0.0,0.0,0
MAR,0.507282654308,0.109135305135,-0.101403046365,-0.223466542271,0.383626091394
MCD,0.961369125663,0.132619901707,-0.0845652128478,-0.257405680305,0.525232304574
ORLY,0.184717083047,0.102925020911,-0.0238362941309,-0.213772301481,0.166023572187
RCL,-0.19345452825,0.0642475707365,-0.19345452825,-0.29688601972,-0.330932664197
SNA,0.200953530611,0.135848481935,-0.11800205193,-0.200756339681,0.1359810054
FOX,-0.0192776951741,0.0922541412723,-0.239457465315,-0.289351213158,-0.0210713912965
